,vx,vy,r,throttle,steering,dvx,dvy,dr
0,33.0,10.5,2.2,1.0,1.0,40.72904284127864,72.42364050300432,33.27162403867549
1,0.02,-10.5,-2.2,-1.0,-1.0,-58.75938529250896,-71.67916281715748,-33.27023936247153
