,vx,vy,r,throttle,steering,dvx,dvy,dr
0,33.0,10.5,2.2,1.0,1.0,43.66627216037693,77.69141099809062,33.26515982478041
1,0.02,-10.5,-2.2,-1.0,-1.0,-55.39226781982192,-70.72466216837195,-33.264245578584465
